category_id,hpp,idx,label,pd_descr,pd_id,pd_price,rank
70,chart_sub70,7,保健食品 / 養生 / 維他命,桂格 養氣人蔘雞精68ml*18入,1253443,789,5
83,chart_sub83,8,鍋具餐具 / 杯瓶酒器,THERMOS膳魔師 超輕量 不鏽鋼真空保溫瓶0.5L,5489773,1440,1
83,chart_sub83,8,鍋具餐具 / 杯瓶酒器,虎牌不鏽鋼真空桌上型輕巧杯280cc,6088470,790,2
83,chart_sub83,8,鍋具餐具 / 杯瓶酒器,THERMOS膳魔師 超輕量彈蓋不鏽鋼保溫瓶0.4L,7049313,1111,3
83,chart_sub83,8,鍋具餐具 / 杯瓶酒器,《蓋好用》加高鍋蓋完整5件組,2037464,990,4
83,chart_sub83,8,鍋具餐具 / 杯瓶酒器,虎牌彈蓋式曲線型保冷保溫杯(MCB-H036)-360cc,6171918,688,5
90,chart_sub90,9,醫學美容保養,Freeman空姐愛用晚安熬夜面膜買1送1(12款任選),5406086,699,1
90,chart_sub90,9,醫學美容保養,Swissvita薇佳微晶3D全能眼霜買大送小,6474654,570,2
90,chart_sub90,9,醫學美容保養,寶拉珍選抗老化柔膚2%水楊酸身體乳210ml,6732554,979,3
90,chart_sub90,9,醫學美容保養,DR.CINK達特聖克 一滴奇肌藜麥煥膚精華 30ml,6826675,990,4
90,chart_sub90,9,醫學美容保養,Swissvita薇佳 微晶3D全能洗顏霜100gX2(全新升級版),7277651,699,5
97,chart_sub97,0,休閒零食 / 進口零食,Taris 碩大天然無花果乾單顆包(20g),6224821,12,1
97,chart_sub97,0,休閒零食 / 進口零食,天六 二色綜合14袋入大包裝豆果子(341g),1775365,249,2
97,chart_sub97,0,休閒零食 / 進口零食,韓國Enaak 香脆點心麵隨手包1盒(16gx30包) 小雞麵,6731103,179,3
97,chart_sub97,0,休閒零食 / 進口零食,海太 辣炒年糕餅乾(103g),6006562,39,4
97,chart_sub97,0,休閒零食 / 進口零食,卡迪那 95度C北海道風味薯條(18gx5包),5250223,65,5
103,chart_sub103,1,床墊 / 床架,日本三貴SANKi 小資普普風 冷凝+散熱涼墊組1床2枕(90x140Cm),5164608,799,1
103,chart_sub103,1,床墊 / 床架,艾維斯 3M防潑水歐式提花三線獨立筒床墊-雙人5尺,5172290,2660,2
103,chart_sub103,1,床墊 / 床架,艾維斯 歐式提花新工法獨立筒床墊-雙人5尺,4879714,2888,3
103,chart_sub103,1,床墊 / 床架,艾維斯 五星級加厚緹花舒柔三線獨立筒床墊-雙人5尺,5218502,4380,4
103,chart_sub103,1,床墊 / 床架,艾維斯 3M防潑水歐式提花三線獨立筒床墊-單人3.5尺,5172289,2580,5
104,chart_sub104,2,桌椅,NICK 鋼網背酒杯扶手電腦椅(二色),1852215,898,1
104,chart_sub104,2,桌椅,亞曼尼3尺經典雙抽層架電腦書桌,2811081,999,2
104,chart_sub104,2,桌椅,樂活家 書桌 和室桌 輕巧折疊桌 60X45X30cm,5739210,319,3
104,chart_sub104,2,桌椅,30年老師傅精緻高級手工皮辦公椅,3640256,1980,4
104,chart_sub104,2,桌椅,★限時下殺★多功折疊筆電桌/床上桌 (白色/黑色),3927873,638,5
107,chart_sub107,3,相機 / 單眼 / 鏡頭 / 拍立得,[5入裸裝]FUJIFILM instax mini 拍立得底片(白邊),3216840,929,1
107,chart_sub107,3,相機 / 單眼 / 鏡頭 / 拍立得,SONY DSC-W810高畫質相機 (公司貨),4892230,2580,2
107,chart_sub107,3,相機 / 單眼 / 鏡頭 / 拍立得,拍立得 FUJIFILM instax mini 25 相機 (平輸),3300061,2576,3
107,chart_sub107,3,相機 / 單眼 / 鏡頭 / 拍立得,SONY A5100 16-50mm 變焦鏡組(公司貨)全配組,5375281,15311,4
107,chart_sub107,3,相機 / 單眼 / 鏡頭 / 拍立得,Nikon D750 機身 (公司貨),5937681,39900,5
110,chart_sub110,4,大尺碼,中大尺碼 側排釦口袋連身牛仔吊帶裙L~3L-La Belleza,5827954,650,1
110,chart_sub110,4,大尺碼,中大尺碼 2way素色荷葉鬆緊腰圍雪紡長裙-La Belleza,5056241,489,2
110,chart_sub110,4,大尺碼,中大尺碼 韓版配色腰內棉質洋裝-La Belleza,5191097,590,3
110,chart_sub110,4,大尺碼,【La Belleza 中大尺碼】三層配色細肩棉麻洋裝,4497124,308,4
110,chart_sub110,4,大尺碼,【La Belleza】素色保暖內刷毛厚棉內搭褲,4754192,308,5
114,chart_sub114,5,飲料 / 茶 / 水 / 沖泡,台鹽 海洋鹼性離子水(850mlx20瓶),7000262,399,1
114,chart_sub114,5,飲料 / 茶 / 水 / 沖泡,悅氏 Light鹼性水 家庭號(6000mlx2入),5781797,125,2
114,chart_sub114,5,飲料 / 茶 / 水 / 沖泡,天然水(560mlx24入),931732,159,3
114,chart_sub114,5,飲料 / 茶 / 水 / 沖泡,悅氏 礦泉水(1500mlx12入),1067401,219,4
114,chart_sub114,5,飲料 / 茶 / 水 / 沖泡,舒跑 天然水(600mlx24入),5432080,188,5
120,chart_sub120,6,冷氣 / 暖氣,BIDDEFORD 舒適型動力式熱敷墊 FH96,4077944,790,1
120,chart_sub120,6,冷氣 / 暖氣,SAMPO聲寶 迷你陶瓷式電暖器 HX-FB06P,6853047,880,2
